 Tempo ; Dist G ; 
  0;    59;
  2;    80;
 17;    118;
  7;    86;
  0;    40;
  1;    63;
 11;    98;
 19;    93;
  4;    88;
  6;    80;
  0;    44;
  2;    62;
  0;    43;
 14;    93;
 12;    92;
  0;    25;
  0;    15;
  7;    81;
  8;    89;
  0;    32;
 123;    137;
  2;    67;
  2;    60;
 59;    105;
  0;    37;
  1;    55;
 14;    94;
  1;    67;
 13;    86;
  2;    60;
  1;    55;
 19;    109;
 17;    97;
  4;    70;
  6;    80;
  0;    47;
  0;    53;
 35;    120;
 36;    104;
  0;    42;
  0;    54;
  0;    39;
  0;    41;
 10;    85;
 34;    101;
  1;    54;
  2;    69;
  1;    56;
  1;    38;
  5;    70;
  0;    53;
  8;    88;
  0;    39;
 10;    88;
  3;    66;
 24;    95;
  0;    42;
  0;    12;
 67;    113;
  2;    62;
  0;    52;
  2;    69;
  4;    76;
  8;    78;
  5;    75;
  2;    66;
  7;    83;
  1;    62;
 14;    92;
 11;    88;
  0;    31;
  2;    75;
  4;    78;
  2;    69;
  6;    96;
 38;    120;
 10;    89;
 12;    87;
  0;    32;
 18;    97;
 11;    83;
  0;    46;
  4;    68;
  1;    56;
  0;    40;
 60;    110;
  0;    37;
  5;    81;
  0;    36;
  1;    58;
 10;    89;
 28;    96;
 28;    110;
 15;    92;
  0;    37;
 31;    109;
  1;    65;
  0;    33;
  1;    58;
  1;    46;
  5;    84;
  1;    57;
  7;    80;
  1;    60;
  0;    50;
  2;    73;
  2;    63;
 14;    95;
 23;    95;
 25;    99;
 41;    107;
 46;    112;
  1;    44;
  0;    52;
 209;    134;
  9;    94;
 35;    112;
  6;    79;
 36;    113;
  1;    67;
 340;    138;
  0;    23;
 114;    136;
  0;    37;
  0;    33;
  9;    85;
 27;    102;
 62;    125;
  0;    45;
  5;    95;
 18;    114;
  1;    50;
  2;    63;
  1;    73;
  6;    80;
  3;    87;
 26;    104;
 23;    95;
  0;    33;
  1;    57;
 17;    91;
  6;    98;
  3;    76;
  5;    80;
 18;    93;
  0;    24;
  1;    62;
  1;    52;
  0;    53;
 10;    83;
  4;    89;
 11;    86;
 12;    84;
 16;    97;
  1;    62;
 31;    100;
  1;    63;
  1;    62;
  1;    55;
  6;    75;
  9;    88;
 135;    137;
  0;    18;
 45;    105;
 178;    130;
  1;    55;
 486;    164;
  0;    45;
 83;    131;
  1;    51;
  1;    63;
  1;    53;
 59;    114;
  2;    62;
  3;    71;
  2;    66;
  2;    69;
  2;    69;
  0;    42;
 136;    130;
  0;    56;
  7;    80;
  2;    62;
 27;    96;
  1;    65;
  0;    34;
 30;    102;
 63;    133;
  1;    48;
  4;    74;
  6;    82;
 78;    117;
 11;    106;
  2;    69;
  3;    74;
  2;    73;
 88;    112;
 38;    104;
  0;    37;
  0;    52;
  2;    73;
  9;    82;
  2;    58;
 36;    101;
 17;    90;
 25;    98;
 90;    122;
 17;    113;
  7;    76;
  3;    63;
  0;    50;
 16;    99;
  7;    86;
 11;    90;
  5;    81;
  1;    55;
  3;    69;
 10;    84;
  1;    57;
  1;    67;
 33;    88;
  0;    45;
 316;    138;
 114;    131;
  2;    66;
 112;    126;
  3;    68;
  0;    19;
  9;    98;
 33;    104;
 148;    136;
  0;    32;
  5;    75;
  5;    74;
  0;    23;
  5;    92;
  0;    69;
  1;    44;
  0;    41;
  0;    36;
  0;    32;
  5;    91;
 24;    96;
 46;    118;
 43;    117;
 33;    94;
  0;    46;
  0;    41;
  0;    50;
  0;    14;
 13;    86;
  1;    60;
 11;    87;
  0;    49;
 36;    109;
  0;    48;
  1;    65;
 12;    87;
  0;    53;
 30;    99;
  5;    84;
  4;    70;
  0;    33;
 31;    123;
  2;    63;
  1;    66;
  1;    59;
 46;    112;
  6;    79;
  2;    67;
 169;    136;
  0;    46;
 62;    124;
 18;    103;
  7;    80;
  2;    62;
 11;    99;
 16;    102;
  9;    85;
 49;    118;
  0;    51;
 26;    104;
  0;    33;
  5;    90;
  3;    71;
 27;    104;
  1;    63;
  0;    59;
  1;    60;
  0;    38;
  0;    53;
 117;    124;
 11;    106;
  0;    37;
  0;    53;
 68;    121;
 133;    126;
  0;    52;
 32;    105;
  3;    78;
 228;    128;
 15;    112;
  0;    31;
  4;    80;
 90;    109;
  6;    80;
 10;    95;
 85;    109;
  0;    40;
 10;    84;
  0;    21;
  3;    73;
  1;    58;
  6;    81;
 39;    111;
  8;    74;
 229;    125;
 20;    85;
  6;    75;
  0;    55;
 35;    116;
 12;    96;
 13;    97;
 12;    92;
 52;    121;
 18;    96;
  2;    56;
  1;    58;
  1;    57;
 293;    141;
 19;    98;
  6;    79;
  0;    36;
  0;    58;
  2;    67;
  6;    74;
  4;    85;
 17;    94;
 72;    113;
 50;    103;
  3;    65;
 20;    91;
  0;    50;
  5;    78;
 177;    125;
 39;    93;
 115;    114;
  5;    83;
  1;    66;
  4;    79;
 17;    95;
  3;    86;
 29;    117;
 27;    93;
  0;    56;
 96;    125;
  0;    38;
 26;    101;
 12;    107;
  2;    67;
 20;    102;
  4;    81;
 25;    94;
 21;    91;
  1;    60;
 14;    91;
  3;    82;
  9;    87;
 14;    105;
  1;    57;
  0;    52;
 18;    105;
  0;    43;
  9;    93;
 26;    102;
 274;    147;
  0;    46;
 22;    93;
  5;    84;
 38;    95;
  1;    74;
  5;    76;
  0;    26;
